,Carimbo de data/hora,ID,Turma,Texto,INT1,INT2,INT3,INT4,INT5,INT6,INT7,INT
59,2023-08-22 19:52:41.640,33,B,B,4,5,6,4,7,6,4,5.142857142857143
60,2023-08-22 19:56:09.945,33,B,A,4,4,5,4,7,6,5,5.0
61,2023-08-16 20:42:49.311,34,A,B,7,7,7,7,7,7,7,7.0
62,2023-08-16 20:38:53.161,34,A,A,4,5,4,4,5,5,5,4.571428571428571
63,2023-08-16 20:33:38.213,35,A,A,4,4,2,2,2,2,1,2.4285714285714284
64,2023-08-16 20:41:14.289,35,A,B,5,5,4,4,6,6,7,5.285714285714286
65,2023-08-16 20:37:21.208,36,A,B,3,5,6,7,6,3,5,5.0
66,2023-08-16 20:28:09.434,36,A,A,3,7,1,4,7,6,5,4.714285714285714
68,2023-08-22 19:57:43.537,37,B,B,4,5,5,4,5,3,4,4.285714285714286
69,2023-08-22 20:05:41.823,37,B,A,5,4,5,4,4,4,3,4.142857142857143
70,2023-08-16 20:41:37.418,38,A,B,7,4,5,6,6,5,5,5.428571428571429
71,2023-08-16 20:34:00.213,38,A,A,5,3,5,5,7,6,4,5.0
72,2023-08-22 20:00:05.458,39,B,B,4,5,5,5,7,5,6,5.285714285714286
73,2023-08-22 20:06:47.046,39,B,A,5,5,5,5,7,5,6,5.428571428571429
74,2023-08-22 19:51:50.874,40,B,B,5,5,3,4,3,4,4,4.0
75,2023-08-22 19:58:28.023,40,B,A,5,7,6,6,6,7,6,6.142857142857143
76,2023-08-22 19:56:41.697,41,B,B,6,5,5,5,4,6,2,4.714285714285714
77,2023-08-22 19:58:35.546,41,B,A,7,5,3,4,6,3,3,4.428571428571429
78,2023-08-16 20:41:55.939,42,A,B,3,5,4,4,5,4,4,4.142857142857143
79,2023-08-16 20:33:42.779,42,A,A,1,4,4,4,4,4,4,3.5714285714285716
80,2023-08-16 20:41:37.451,43,A,B,6,6,4,5,6,7,5,5.571428571428571
81,2023-08-16 20:34:15.847,43,A,A,5,6,5,4,6,6,6,5.428571428571429
82,2023-08-22 19:52:37.262,44,B,B,6,7,6,7,7,7,5,6.428571428571429
83,2023-08-22 19:57:56.752,44,B,A,7,6,5,5,7,7,5,6.0
84,2023-08-16 20:41:16.293,45,A,B,5,3,2,3,3,2,4,3.142857142857143
85,2023-08-16 20:31:45.706,45,A,A,5,6,3,4,3,6,4,4.428571428571429
87,2023-08-22 19:56:49.982,47,B,A,1,1,1,1,1,1,1,1.0
88,2023-08-22 19:50:08.105,47,B,B,7,7,7,7,7,7,7,7.0
89,2023-08-22 19:51:16.718,48,B,B,5,7,7,7,5,7,7,6.428571428571429
90,2023-08-22 19:57:54.274,48,B,A,7,7,5,7,6,7,7,6.571428571428571
91,2023-08-22 19:51:23.053,49,B,B,4,5,4,4,3,4,4,4.0
93,2023-08-22 19:56:53.854,49,B,A,5,5,4,5,7,5,5,5.142857142857143
94,2023-08-22 19:51:22.419,50,B,B,4,7,4,4,7,4,4,4.857142857142857
95,2023-08-22 19:57:40.695,50,B,A,4,7,4,4,7,7,4,5.285714285714286
96,2023-08-22 19:55:18.485,51,B,B,6,1,1,1,1,3,4,2.4285714285714284
97,2023-08-22 19:59:03.898,51,B,A,3,4,2,3,2,4,3,3.0
98,2023-08-16 20:34:09.462,52,A,A,2,5,3,3,5,4,4,3.7142857142857144
99,2023-08-16 20:42:42.462,52,A,B,6,5,6,6,5,5,5,5.428571428571429
100,2023-08-22 19:54:03.889,53,B,B,3,7,5,4,4,7,4,4.857142857142857
101,2023-08-22 19:57:28.400,53,B,A,4,4,4,4,4,4,5,4.142857142857143
102,2023-08-22 19:53:09.337,54,B,B,4,4,4,1,1,1,1,2.2857142857142856
103,2023-08-22 19:56:47.065,54,B,A,4,4,4,4,4,4,4,4.0
104,2023-08-22 19:52:37.932,55,B,B,1,5,7,4,6,4,6,4.714285714285714
105,2023-08-22 20:02:15.589,55,B,A,3,5,5,5,6,1,6,4.428571428571429
107,2023-08-22 19:55:30.426,57,B,B,5,5,4,5,5,5,5,4.857142857142857
108,2023-08-22 19:57:38.325,57,B,A,5,4,5,4,4,4,5,4.428571428571429
